#ALMAQUEST spaxel data for green valley galaxies
#data has been converted from Salpeter to a Chabrier IMF
#Sigma_H2 and Sigma_SM have units of Msun/pc^2, while Sigma_SFR has units of Msun/yr/kpc^2
#log10(Sigma_H2) log10(Sigma_SM) log10(Sigma_SFR)
1283000058.0 -6.296873995683114 0.22611372733250767
1201999994.0 -6.297389995654072 0.22611372730720766
1312999930.0 -6.296707995816092 0.22611372739150767
1555000058.0 -6.292455996035557 0.22611372784290767
1233999994.0 -6.296699995755176 0.22611372747170766
324399994.0 -6.295429995863657 0.22611372768500765
280299994.0 -6.294904995824169 0.2261137279762077
401699994.0 -6.29467299545459 0.22611372885530762
83889994.0 -6.300053195676725 0.22611372729300766
100499994.0 -6.29997099563289 0.22611372732920768
94429994.0 -6.29998999566115 0.22611372732170767
76019994.0 -6.298486995625268 0.22611372769310767
86849994.0 -6.297361995673697 0.22611372779380767
106299994.0 -6.29471299575917 0.22611372802230761
249699994.0 -6.284419995381455 0.22611372907430766
287599994.0 -6.28933999559186 0.22611372822130765
333099994.0 -6.289539995252113 0.22611372803030766
359299994.0 -6.296319995655637 0.22611372735640767
165499994.0 -6.295595995730679 0.22611372733030766
293999994.0 -6.29509299585871 0.22611372730300766
402899994.0 -6.292947996056597 0.22611372738060767
570899962.0 -6.290859995990019 0.22611372749940767
762999994.0 -6.289749995454173 0.22611372763520765
650599994.0 -6.2918099953075455 0.22611372761350768
547599994.0 -6.2929709959989 0.22611372760350767
533999994.0 -6.293440995852421 0.22611372760560766
672199994.0 -6.293738995793234 0.22611372761860765
973599994.0 -6.2941179956523285 0.22611372764340765
585299962.0 -6.294561995773535 0.22611372767110766
461099994.0 -6.29490299580894 0.22611372770710764
518699994.0 -6.294480995855253 0.22611372787320766
317099994.0 -6.2952639955309735 0.22611372803630764
186499994.0 -6.294173995613079 0.22611372938130764
83779994.0 -6.300148895648732 0.22611372723560766
100499994.0 -6.299958995657931 0.22611372729250767
108699994.0 -6.298569995558779 0.22611372768850768
76019994.0 -6.297810995600145 0.22611372783130768
91799994.0 -6.295667995813261 0.22611372804530766
196399994.0 -6.293651995829265 0.22611372802030766
209299994.0 -6.291132995507638 0.22611372805530766
285099994.0 -6.288169995530467 0.22611372818630765
333099994.0 -6.288539996019523 0.22611372805130764
424999994.0 -6.292144995762925 0.22611372766010768
158799994.0 -6.293827995772432 0.22611372745120767
179899994.0 -6.293243995516519 0.22611372742190766
368099994.0 -6.287579995228867 0.22611372768730764
434599994.0 -6.285969995542388 0.22611372781520767
530299994.0 -6.287379995568614 0.22611372783430767
341599994.0 -6.2904299959754155 0.22611372772170768
462399994.0 -6.289559995404403 0.22611372781930766
507699994.0 -6.292619995421688 0.22611372762220766
464199994.0 -6.288859995662193 0.22611372796170764
561500026.0 -6.291849995612125 0.22611372782700767
530599994.0 -6.291721995568793 0.2261137279737077
338399994.0 -6.293606995719443 0.22611372789430767
240799994.0 -6.2958859956105755 0.22611372772720767
271299994.0 -6.293684995847713 0.2261137283443077
222399994.0 -6.293056995256762 0.22611372942730773
86259994.0 -6.300226295656017 0.22611372723880768
108299994.0 -6.2976169957527475 0.2261137281543077
153899994.0 -6.29754599567778 0.2261137281493077
138499994.0 -6.2972959956368015 0.22611372783490769
190699994.0 -6.294018995596986 0.2261137279826077
220699994.0 -6.292511995530646 0.22611372787620765
237899994.0 -6.290829995295923 0.22611372791480766
278899994.0 -6.289559995404403 0.22611372798420765
400199994.0 -6.292784995979588 0.22611372766730764
450299994.0 -6.292243995352607 0.22611372762900767
167799994.0 -6.291825995429377 0.22611372759080767
341799994.0 -6.288339995427947 0.22611372779070765
369699994.0 -6.284179995416622 0.22611372811030767
384899994.0 -6.288319995275657 0.22611372790600764
393199994.0 -6.289589996098499 0.2261137278283077
572499962.0 -6.2920779954855846 0.22611372762850768
364499994.0 -6.291225995517294 0.22611372768590765
346399994.0 -6.290929996057372 0.22611372777390765
440099994.0 -6.292481995767872 0.22611372778980765
400099994.0 -6.29432399582393 0.22611372777660765
385199994.0 -6.295606995581608 0.22611372775880767
230099994.0 -6.294090995679568 0.22611372811530767
205699994.0 -6.294868995550047 0.22611372817530767
173999994.0 -6.295105995724867 0.22611372849730765
203199994.0 -6.296609995535533 0.22611372872730767
79499994.0 -6.300213095671921 0.22611372732420768
161899994.0 -6.297700995693873 0.22611372821830772
146999994.0 -6.297264995633583 0.22611372765860765
207699994.0 -6.294966995830606 0.22611372769060767
223799994.0 -6.293498995828401 0.22611372772340765
253499994.0 -6.291562995522241 0.2261137278890077
268599994.0 -6.292864995657425 0.22611372776680766
417699994.0 -6.292897995210211 0.22611372772340765
234399994.0 -6.28914999554209 0.22611372799530766
268899994.0 -6.2848799960901545 0.22611372836730764
302699994.0 -6.2885699957822965 0.22611372813030767
314699994.0 -6.2902599960779355 0.22611372799460766
369199994.0 -6.292201995498459 0.22611372774540767
303599994.0 -6.290739996007602 0.22611372777020766
303599994.0 -6.290349995366256 0.22611372777870764
256899994.0 -6.293836995608132 0.22611372759720766
244099994.0 -6.294812995589297 0.22611372767770765
213899994.0 -6.2957179957283245 0.22611372782060768
181199994.0 -6.296223995855968 0.22611372797710766
147499994.0 -6.296319995655637 0.22611372806030766
127699994.0 -6.296223995855968 0.22611372810530767
144799994.0 -6.296290995667647 0.22611372816530767
132199994.0 -6.297076995599042 0.22611372812530767
108699994.0 -6.298924995700787 0.22611372771930766
63929994.0 -6.29975299571916 0.22611372749400765
124699994.0 -6.300016995633911 0.22611372739870766
30869994.0 -6.300451895685825 0.22611372722360767
39059994.0 -6.300443795682355 0.22611372722790768
15059994.0 -6.300540895665023 0.22611372722080766
137299994.0 -6.2984109957450585 0.22611372766390764
122799994.0 -6.297492995739873 0.22611372749650765
140199994.0 -6.296460995565127 0.22611372751360764
153199994.0 -6.29529899556465 0.22611372763370768
257799994.0 -6.294235995619516 0.22611372779090766
259299994.0 -6.2925999952693985 0.22611372800820767
284199994.0 -6.290359995908062 0.22611372831330762
203799994.0 -6.288269995360594 0.2261137287163077
227899994.0 -6.2887999952053235 0.2261137288103076
162299994.0 -6.292508995740633 0.22611372818730763
233499994.0 -6.293829995787661 0.22611372779890765
230599994.0 -6.292959995216648 0.2261137277278077
241399994.0 -6.292902995481114 0.22611372770110766
231099994.0 -6.292575996017973 0.22611372786320766
188799994.0 -6.295591995700221 0.22611372783390765
172299994.0 -6.296771995837759 0.2261137281943077
